% interestacl94stopwords.arff

@relation interest

@attribute prevword_3 String
@attribute prevword_2 String
@attribute prevword String
@attribute nextword String
@attribute nextword_2 String
@attribute nextword_3 String
@attribute prevtag_3 String
@attribute prevtag_2 String
@attribute prevtag String
@attribute nexttag String
@attribute nexttag_2 String
@attribute nexttag_3 String
@attribute 'Class' {'interest1', 'interest2', 'interest3', 'interest4', 'interest5', 'interest6'}

@data
'federal','reserve','allow','rates','move','lower','NP','NP','VB','NNS','VB','RBR','interest6'
'prices','soared','speculation','rates','would','continue','NNS','VBD','NN','NNS','MD','VB','interest6'
'price','changes','plus','income','X','NULL','NN','NNS','CC','NN','X','NULL','interest6'
'quickly','longerXterm','bonds','rates','fall','X','RB','JJR','NNS','NNS','VBP','X','interest6'
'sold','met','strong','abroad','X','particularly','VBN','VBD','JJ','RB','X','RB','interest1'
'existing','loans','cut','rate','existing','loans','JJ','NNS','VB','NN','VBG','NNS','interest6'
'coX','recently','sold','liquidXcrystal','displays','thompsonXcsf','NP','RB','VBD','JJ','NNS','NP','interest5'
'reserve','begins','let','rates','drift','sufficiently','NP','VBZ','VB','NNS','VB','RB','interest6'
'X','concern','lower','rates','general','purposes','X','NN','JJR','NNS','JJ','NNS','interest6'
'sell','50','%','richmondXarea','shopping','mall','VB','AB','NN','JJ','NN','NN','interest5'
'Xs','troubles','whipped','among','outsiders','Xinterested','POS','NNS','VBN','IN','NNS','VBN','interest1'
'mrX','dingell','special','nih','institutions','receive','NP','NP','JJ','NP','NNS','VBP','interest4'
'impact','last','rise','rates','earlier','month','NN','JJ','NN','NNS','RBR','NN','interest6'
'clear','prepared','increase','rates','necessary','ensure','JJ','VBN','VB','NNS','JJ','VB','interest6'
'uXsX','government','decide','rates','dollar','stabilized','NP','NN','VB','NNS','NN','VBN','interest6'
'attributed','generally','thin','ahead','weekend','week','VBN','RB','JJ','RB','NN','NN','interest1'
'NULL','NULL','NULL','may','remain','limited','NULL','NULL','NULL','MD','VB','JJ','interest1'
'Xs','high','shortXterm','rates','X','NULL','POS','JJ','JJ','NNS','X','NULL','interest6'
'relaxation','curbs','bank','rates','allow','banks','NN','NNS','NN','NNS','VB','NNS','interest6'
'equity','might','use','platform','launch','hostile','NP','MD','VB','NN','VB','JJ','interest5'
'sale','36','%','country','Xs','largest','NN','AB','NN','NN','POS','JJS','interest5'
'also','receive','minority','new','company','X','RB','VB','NN','JJ','NN','X','interest5'
'retain','controlling','ownership','X','NULL','NULL','VBP','JJ','NN','X','NULL','NULL','interest5'
'resigned','pursue','business','X','company','said','VBD','VB','NN','X','NN','VBD','interest3'
'bought','54','%','manhattan','national','corp','VBD','AB','NN','NP','NP','NP','interest5'
'nl','proposal','well','X','third','parties','NP','NN','RB','X','JJ','NNS','interest1'
'phelan','X','abandoned','X','NULL','NULL','NP','X','VBN','X','NULL','NULL','interest4'
'new','regulation','introduced','protecting','little','guy','JJ','NN','VBN','VBG','JJ','NN','interest4'
'including','lack','investor','X','responsible','X','VBG','NN','NN','X','JJ','X','interest1'
'drew','solid','investor','X','NULL','NULL','VBD','JJ','NN','X','NULL','NULL','interest1'
'dealers','said','little','treasury','bonds','ahead','NNS','VBD','JJ','NP','NNS','RB','interest1'
'means','greater','buying','metal','X','NULL','VBZ','JJR','NN','NN','X','NULL','interest1'
'also','sparked','buying','realXestate','companies','X','RB','VBD','NN','NN','NNS','X','interest1'
'wX','kluge','X','telecommunications','X','robotic','NP','NP','X','NN','X','JJ','interest5'
'exchange','longer','representing','X','NULL','NULL','NN','RBR','VBG','X','NULL','NULL','interest4'
'outbreak','significant','buying','X','NULL','NULL','NN','JJ','NN','X','NULL','NULL','interest1'
'said','fresh','buying','sidelined','ahead','potential','VBD','JJ','NN','VBN','RB','JJ','interest1'
'generated','strong','buying','X','helped','lift','VBD','JJ','NN','X','VBD','VB','interest1'
'limited','X','parties','X','X','generally','VBN','X','NNS','X','X','RB','interest5'
'earthquake','diminished','national','teams','came','san','NN','VBN','JJ','NNS','VBD','NP','interest2'
'group','X','whose','represented','three','directors','NN','X','WPX','VBN','AB','NNS','interest5'
'unocal','X','considerable','X','prospective','buyers','NP','X','JJ','X','JJ','NNS','interest1'
'panama','X','uXsX','stake','happily','minor','NP','X','NP','NN','RB','JJ','interest4'
'X','notes','accumulate','notes','nXt','require','X','NNS','VBP','NNS','RB','VB','interest6'
'wo','nXt','mention','horse','racing','X','MD','RB','VB','NN','NN','X','interest1'
'pool','japanese','investor','uXsX','securities','X','NN','JJ','NN','NP','NNS','X','interest1'
'NULL','NULL','buying','du','pont','X','NULL','NULL','NN','NP','NP','X','interest1'
'structure','cash','coverage','X','meaningfully','improve','NN','NN','NN','X','RB','VB','interest6'
'leftXhanded','golfersX','general','magazine','something','miss','JJ','X','JJ','NN','NN','VBP','interest3'
'catered','X','black','X','could','win','VBD','X','JJ','X','MD','VB','interest4'
'many','different','economic','X','NULL','NULL','JJ','JJ','JJ','X','NULL','NULL','interest3'
'NULL','NULL','addition','ozone','depletion','extensively','NULL','NULL','NN','NN','NN','RB','interest1'
'NULL','overall','buying','remained','strong','monday','NULL','JJ','NN','VBD','JJ','NP','interest1'
'profit','taxes','minority','extraordinary','items','climbed','NN','NNS','NN','JJ','NNS','VBD','interest5'
'NULL','NULL','uXsX','may','big','growing','NULL','NULL','NP','MD','JJ','VBG','interest1'
'X','uXsX','Xs','somalia','consists','single','X','NP','POS','NP','VBZ','JJ','interest4'
'greater','usual','financial','property','sold','X','JJR','JJ','JJ','NN','VBN','X','interest5'
'reveal','customers','conflicts','X','NULL','NULL','VB','NNS','NNS','X','NULL','NULL','interest4'
'X','definite','conflict','auction','house','advise','X','JJ','NN','NN','NN','VB','interest4'
'see','would','conflict','X','X','says','VB','MD','NN','X','X','VBZ','interest4'
'presented','alleged','conflict','X','set','dummy','VBD','JJ','NN','X','VBN','JJ','interest4'
'operators','X','conflicts','X','stabilize','franchisee','NNS','X','NNS','X','VB','NN','interest4'
'disclosure','fees','conflicts','X','NULL','NULL','NN','NNS','NNS','X','NULL','NULL','interest4'
'nXt','problems','conflict','risk','cheating','partner','RB','NNS','NN','NN','VBG','NN','interest4'
'measures','prevent','conflicts','X','already','put','NNS','VB','NNS','X','RB','VBN','interest4'
'overcome','builtXin','conflicts','X','NULL','NULL','VB','JJ','NNS','X','NULL','NULL','interest4'
'NULL','X','conflict','standard','committee','giving','NULL','X','NN','NN','NN','VBG','interest4'
'X','Xs','conflict','X','X','says','X','VBZ','NN','X','X','VBZ','interest4'
'21','%','boost','expense','X','reflecting','AB','NN','NN','NN','X','VBG','interest6'
'dramatic','fall','scientific','cold','fusion','research','JJ','NN','JJ','JJ','NN','NN','interest1'
'NULL','company','X','television','X','trucking','NULL','NN','X','NN','X','NN','interest5'
'favor','moment','high','rates','determination','industrial','NN','NN','JJ','NNS','NN','JJ','interest6'
'bonds','X','fixedXdollar','payments','X','NULL','NNS','POS','JJ','NNS','X','NULL','interest6'
'bills','invest','companies','X','NULL','NULL','NNS','VB','NNS','X','NULL','NULL','interest5'
'zeros','X','pay','maturity','X','meaning','NNS','X','VBP','NN','X','VBG','interest6'
'falls','bonds','inflation','rates','kick','X','VBZ','NNS','NN','NNS','VBP','X','interest6'
'refunds','without','much','children','nXt','attend','NNS','IN','JJ','NNS','RB','VB','interest6'
'back','taxes','X','civil','fraud','penalties','JJ','NNS','X','JJ','NN','NNS','interest6'
'NULL','NULL','NULL','retirement','community','nevada','NULL','NULL','NULL','NN','NN','NP','interest5'
'flaX','X','sold','oil','wells','select','NP','X','VBN','NN','NNS','JJ','interest5'
'X','one','based','rates','company','guarantees','X','AB','VBN','NNS','NN','VBZ','interest6'
'impressive','X','high','rate','prevail','long','JJ','X','JJ','NN','VB','RB','interest6'
'period','X','usually','rates','stay','high','NN','X','RB','NNS','VBP','JJ','interest6'
'NULL','NULL','NULL','rates','plunge','X','NULL','NULL','NULL','NNS','VBP','X','interest6'
'dividends','marginally','higher','yield','X','policy','NNS','RB','JJR','NN','X','NN','interest6'
'assumed','fractionally','higher','rate','X','NULL','VBD','RB','JJR','NN','X','NULL','interest6'
'NULL','NULL','buying','also','resurfaced','technology','NULL','NULL','NN','RB','VBD','NN','interest1'
'X','using','high','rates','X','essential','X','VBG','JJ','NNS','X','JJ','interest6'
'policy','using','high','rates','fight','inflation','NN','VBG','JJ','NNS','VB','NN','interest6'
'X','despite','doubling','rates','last','16','X','IN','NN','NNS','JJ','AB','interest6'
'NULL','NULL','X','else','money','X','NULL','NULL','X','RB','NN','X','interest1'
'X','see','lot','kind','things','X','X','VBP','NN','NN','NNS','X','interest1'
'NULL','NULL','short','new','york','stock','NULL','NULL','JJ','NP','NP','NP','interest5'
'record','month','short','X','NULL','NULL','NN','NN','JJ','X','NULL','NULL','interest5'
'board','reported','short','dropped','523X920X214','shares','NP','VBD','JJ','VBD','AB','NNS','interest5'
'NULL','amex','short','climbed','3','%','NULL','NP','JJ','VBD','AB','NN','interest5'
'NULL','amex','short','heading','upward','since','NULL','NP','JJ','VBG','RB','IN','interest5'
'NULL','NULL','short','number','shares','nXt','NULL','NULL','JJ','NN','NNS','RB','interest5'
'consider','increase','short','bullish','borrowed','shares','VBP','NN','JJ','JJ','VBN','NNS','interest5'
'NULL','fluctuation','short','certain','stocks','also','NULL','NN','JJ','JJ','NNS','RB','interest5'
'big','board','short','ratio','slipped','3X36','NP','NP','JJ','NN','VBD','AB','interest5'
'NULL','NULL','short','international','business','machines','NULL','NULL','JJ','NP','NP','NP','interest5'
'corpX','X','short','slid','4X469X167','shares','NP','X','JJ','VBD','AB','NNS','interest5'
'NULL','amex','short','volume','leader','texas','NULL','NP','JJ','NN','NN','NP','interest5'
'amex','issues','short','position','least','100X000','NP','NNS','JJ','NN','JJS','AB','interest5'
'fasteners','X','include','costs','X','16X4','NNS','X','VB','NNS','X','AB','interest6'
'fears','relatively','attractive','rates','pushed','moneyXmarket','NNS','RB','JJ','NNS','VBD','JJ','interest6'
'million','X','provisions','payments','loans','previously','AB','X','NNS','NNS','NNS','RB','interest6'
'provisions','made','foregone','mX','200','million','NNS','VBN','JJ','X','AB','AB','interest6'
'read','data','sign','rates','may','fall','VB','NNS','NN','NNS','MD','VB','interest6'
'fostered','pessimism','lower','rates','contributed','stock','VBD','NN','JJR','NNS','VBD','NN','interest6'
'bank','allowed','key','rate','fall','slightly','NN','VBN','JJ','NN','VB','RB','interest6'
'NULL','NULL','watching','sport','plummet','years','NULL','NULL','VBG','NN','VB','NNS','interest1'
'may','seek','controlling','harleyXdavidson','X','seek','MD','VB','NN','NP','X','VB','interest5'
'says','X','X','rates','almost','always','VBZ','X','X','NNS','RB','RB','interest6'
'tilts','X','falling','rates','force','price','VBZ','X','VBG','NNS','VBP','NN','interest6'
'worth','pay','higher','newly','issued','bonds','JJ','VBP','JJR','RB','VBN','NNS','interest6'
'NULL','NULL','NULL','rates','dropped','X','NULL','NULL','NULL','NNS','VBN','X','interest6'
'corporations','X','save','costs','X','NULL','NNS','X','VBP','NNS','X','NULL','interest6'
'X','X','doubts','rates','fall','much','X','X','VBZ','NNS','VB','RB','interest6'
'offering','bonds','resettable','rate','10','%','VBG','NNS','JJ','NN','AB','NN','interest6'
'NULL','raised','hopes','rates','continue','move','NULL','VBD','NNS','NNS','VB','VB','interest6'
'administrative','overhead','debt','X','NULL','NULL','JJ','NN','NN','X','NULL','NULL','interest6'
'trying','unsuccessfully','sell','lower','manhattan','operations','VBG','RB','VB','JJR','NP','NNS','interest5'
'chase','tried','sell','X','along','atlas','NP','VBD','VB','X','IN','NP','interest5'
'atlas','estate','Xs','X','shortly','october','NP','NN','POS','X','RB','NP','interest5'
'private','navy','enforce','X','pressuring','uXsX','JJ','NN','VB','X','VBG','NP','interest4'
'forfeit','credits','financial','films','helped','develop','VB','NNS','JJ','NNS','VBN','VB','interest5'
'X','warner','Xs','accommodate','mgmua','X','X','NP','POS','VB','NP','X','interest4'
'obviously','nXt','think','let','mrX','guber','RB','RB','VB','VB','NP','NP','interest4'
'movies','columbia','Xs','studio','jointly','owns','NNS','NP','POS','NN','RB','VBZ','interest5'
'X','moreover','X','assetXbacked','securities','fully','X','RB','X','JJ','NNS','RB','interest6'
'letters','certificates','represent','specially','created','trust','NNS','NNS','VBP','RB','VBN','NN','interest5'
'trust','X','represent','obligations','banks','X','NN','X','VB','NNS','NNS','X','interest5'
'care','property','holds','139','facilities','30','NP','NP','VBZ','AB','NNS','AB','interest5'
'industry','X','one','hit','hardest','1986','NN','X','AB','VBD','RBS','AB','interest5'
'X','tokyoXbased','company','include','financial','services','X','JJ','NN','VBP','JJ','NNS','interest5'
'quarter','X','excluding','X','increased','6X1','NN','X','VBG','X','VBD','AB','interest6'
'uXsX','clear','strategic','X','waiting','delta','NP','JJ','JJ','X','VBG','NP','interest4'
'pipeline','X','refinery','second','refinery','X','NN','X','NN','JJ','NN','X','interest5'
'cited','costXreduction','moves','income','X','NULL','VBD','JJ','NNS','NN','X','NULL','interest6'
'NULL','NULL','NULL','paid','semiXannually','X','NULL','NULL','NULL','VBN','RB','X','interest6'
'whenever','article','appears','user','X','NULL','WRB','NN','VBZ','NN','X','NULL','interest2'
'matches','subscriber','Xs','area','X','NULL','VBZ','NN','POS','NN','X','NULL','interest3'
'hot','topic','X','abortion','issue','great','JJ','NN','X','NN','NN','JJ','interest1'
'NULL','rumors','soviet','also','pushed','prices','NULL','NP','JJ','RB','VBD','NNS','interest1'
'regional','newspapers','oneXthird','international','herald','tribune','JJ','NNS','JJ','NP','NP','NP','interest5'
'reserve','leeway','reduce','rates','X','NULL','NP','NN','VB','NNS','X','NULL','interest6'
'attendant','pursuit','private','X','NULL','NULL','JJ','NN','JJ','X','NULL','NULL','interest4'
'published','company','also','book','publishing','X','VBN','NN','RB','NN','NN','X','interest5'
'resigned','pursue','business','consulting','X','NULL','VBD','VB','NN','NN','X','NULL','interest3'
'owning','X','controlling','company','X','NULL','VBG','X','VBG','NN','X','NULL','interest5'
'sector','offset','decline','income','X','NULL','NN','VBP','NN','NN','X','NULL','interest6'
'NULL','NULL','lower','income','occurred','schlumberger','NULL','NULL','JJR','NN','VBD','NP','interest6'
'profit','payments','minority','rose','252','million','NN','NNS','NN','VBD','AB','AB','interest5'
'francs','payment','minority','X','NULL','NULL','NNS','NN','NN','X','NULL','NULL','interest5'
'quake','revive','consumer','littleXpublicized','1972','state','NN','VB','NN','JJ','AB','NN','interest1'
'public','offering','oneXsixth','grace','energy','corpX','JJ','NN','JJ','NP','NP','NP','interest5'
'price','X','higher','expenses','X','NULL','NN','X','JJR','NNS','X','NULL','interest6'
'back','22','%','company','fletcher','challenge','RB','AB','NN','NN','NP','NP','interest5'
'raising','doman','Xs','western','forest','56','VBG','NP','POS','NP','NP','AB','interest5'
'remaining','44','%','western','forest','X','VBG','AB','NN','NP','NP','X','interest5'
'future','direction','uXsX','rates','remains','unclear','JJ','NN','NP','NNS','VBZ','JJ','interest6'
'NULL','X','investor','switches','back','forth','NULL','X','NN','VBZ','RB','RB','interest1'
'companies','also','attracted','strong','earnings','outlooks','NNS','RB','VBD','JJ','NNS','NNS','interest1'
'NULL','despite','flurry','shares','X','dealers','NULL','IN','NN','NNS','X','NNS','interest1'
'volatility','high','uXkX','rates','X','NULL','NN','JJ','NP','NNS','X','NULL','interest6'
'demand','face','high','rates','X','gained','NN','NN','JJ','NNS','X','VBD','interest6'
'strategies','nXt','best','stockholders','X','NULL','NNS','RB','JJS','NNS','X','NULL','interest4'
'prompted','speculation','lower','rates','X','NULL','VBD','NN','JJR','NNS','X','NULL','interest6'
'loans','X','higher','margins','minor','loan','NNS','X','JJR','NNS','JJ','NN','interest6'
'big','board','short','fell','4X2','%','NP','NP','JJ','VBD','AB','NN','interest5'
'covering','fresh','buying','later','trading','day','NN','JJ','NN','RB','NN','NN','interest1'
'X','predicting','X','rates','stay','X','X','VBG','X','NNS','VB','X','interest6'
'NULL','hotels','management','sold','auction','X','NULL','NNS','NN','VBN','NN','X','interest5'
'value','properties','management','nXt','disclosed','X','NN','NNS','NN','RB','VBN','X','interest5'
'trust','plans','sell','36','hotels','X','NN','VBZ','VB','AB','NNS','X','interest5'
'NULL','excluded','sale','trust','corporation','two','NULL','VBN','NN','NN','NN','AB','interest5'
'new','X','expressions','X','two','previous','JJ','X','NNS','X','AB','JJ','interest1'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'loan','volume','tighter','margins','X','NULL','NN','NN','JJR','NNS','X','NULL','interest6'
'loss','widened','X','expense','cited','X','NN','VBD','X','NN','VBN','X','interest6'
'margins','lower','net','expense','X','NULL','NNS','JJR','JJ','NN','X','NULL','interest6'
'NULL','healthvest','missed','payment','bank','tokyo','NULL','NP','VBD','NN','NP','NP','interest6'
'10X6','million','principal','payments','owed','since','AB','AB','NN','NNS','VBD','IN','interest6'
'acquire','uXsX','cellular','markets','mccaw','holds','VB','NP','JJ','NNS','NP','VBZ','interest5'
'markets','mccaw','holds','X','contiguous','markets','NNS','NP','VBZ','X','JJ','NNS','interest5'
'X','unless','lin','contiguous','X','NULL','X','IN','NP','JJ','X','NULL','interest5'
'lin','Xs','best','X','NULL','NULL','NP','POS','JJS','X','NULL','NULL','interest4'
'purchase','company','Xs','X','NULL','NULL','VB','NN','POS','X','NULL','NULL','interest5'
'lose','far','less','proceeding','way','X','VBP','RB','JJR','VBG','NN','X','interest6'
'loans','X','higher','margins','negligible','loan','NNS','X','JJR','NNS','JJ','NN','interest6'
'entirely','decline','brazilian','paid','X','X','RB','NN','JJ','VBN','X','X','interest6'
'4X52','%','net','margin','X','difference','AB','NN','JJ','NN','X','NN','interest6'
'canadian','pacific','X','transportation','X','telecommunications','NP','NP','X','NN','X','NNS','interest5'
'resigned','pursue','business','X','capital','holding','VBD','VB','NN','X','NP','NP','interest3'
'high','degree','public','X','stake','X','JJ','NN','JJ','X','NN','X','interest4'
'sidelines','direction','uXsX','rates','remained','unclear','NNS','NN','NP','NNS','VBD','JJ','interest6'
'insurers','property','owners','san','francisco','area','NNS','NN','NNS','NP','NP','NN','interest5'
'uncertainty','still','hanging','rates','dollar','X','NN','RB','VBG','NNS','NN','X','interest6'
'NULL','NULL','NULL','rateXsensitive','shares','steel','NULL','NULL','NULL','JJ','NNS','NN','interest6'
'credit','X','allowing','rates','drop','bit','NN','X','VBG','NNS','VB','NN','interest6'
'company','Xs','equity','south','africa','effective','NN','POS','NN','NP','NP','JJ','interest5'
'X','sold','majority','brazilian','affiliate','X','X','VBD','NN','JJ','NN','X','interest5'
'sell','10','%','rocky','mountain','bankcard','VB','AB','NN','NP','NP','NP','interest5'
'X','like','high','rates','slow','economic','X','IN','JJ','NNS','JJ','JJ','interest6'
'fed','unresponsive','public','X','NULL','NULL','NP','JJ','JJ','X','NULL','NULL','interest4'
'incorrect','view','public','X','NULL','NULL','JJ','NN','JJ','X','NULL','NULL','interest4'
'constant','longing','lower','rates','X','NULL','JJ','NN','JJR','NNS','X','NULL','interest6'
'represents','X','low','rates','X','shortXrun','VBZ','X','JJ','NNS','X','JJ','interest6'
'million','nXt','accruing','X','bank','said','AB','RB','VBG','X','NN','VBD','interest6'
'retaining','wine','softXdrink','X','nXt','break','VBG','NN','NN','X','RB','NN','interest5'
'intends','bolster','brewing','X','effort','grab','VBZ','VB','NN','X','NN','VB','interest5'
'NULL','britain','X','include','beefeater','steakhouse','NULL','NP','X','VBP','NP','NN','interest5'
'federal','reserve','lower','rates','coming','weeks','NP','NP','VB','NNS','VBG','NNS','interest6'
'relationships','contrary','best','amr','shareholders','X','NNS','JJ','JJS','NP','NNS','X','interest4'
'stX','louis','company','solid','waste','recycling','NP','NP','NN','JJ','NN','NN','interest5'
'face','value','X','accruing','instead','paid','NN','NN','X','VBG','RB','VBN','interest6'
'rules','X','accrued','deductible','company','issuing','NNS','X','VBN','JJ','NN','VBG','interest6'
'100','million','buyXout','payments','X','existing','AB','AB','NN','NNS','X','VBG','interest6'
'surviving','company','rather','payments','X','NULL','VBG','NN','RB','NNS','X','NULL','interest6'
'NULL','since','lower','rate','X','would','NULL','IN','JJR','NN','X','MD','interest6'
'maturity','nXt','pay','least','one','year','NN','RB','VB','JJS','AB','NN','interest6'
'would','deny','deduction','actually','paid','X','MD','VB','NN','RB','VBN','X','interest6'
'holder','taxed','accrued','X','NULL','NULL','NN','VBN','VBN','X','NULL','NULL','interest6'
'NULL','NULL','X','deduction','engine','made','NULL','NULL','X','NN','NN','VBD','interest6'
'NULL','northrop','Xs','expense','also','soared','NULL','NP','POS','NN','RB','VBD','interest6'
'NULL','NULL','NULL','expense','surged','X','NULL','NULL','NULL','NN','VBD','X','interest6'
'entrepreneur','bump','entrenched','X','NULL','NULL','NN','VB','JJ','X','NULL','NULL','interest4'
'despite','recent','declines','rates','X','money','IN','JJ','NNS','NNS','X','NN','interest6'
'billion','X','computing','government','Xs','loans','AB','X','VBG','NN','POS','NNS','interest6'
'preferred','shares','purchase','startXup','company','underwrite','JJ','NNS','VB','JJ','NN','VB','interest5'
'might','acquire','majority','later','X','NULL','MD','VB','NN','RB','X','NULL','interest5'
'X','250','million','costs','X','NULL','X','AB','AB','NNS','X','NULL','interest6'
'prudent','best','longXterm','shareholders','X','X','JJ','JJS','JJ','NNS','X','X','interest4'
'NULL','NULL','initial','rate','set','0X375','NULL','NULL','JJ','NN','VBN','AB','interest6'
'NULL','NULL','NULL','payments','bonds','payable','NULL','NULL','NULL','NNS','NNS','JJ','interest6'
'exempt','taxation','principal','X','NULL','NULL','JJ','NN','NN','X','NULL','NULL','interest6'
'numbers','determine','X','rates','heading','X','NNS','VB','X','NNS','VBG','X','interest6'
'NULL','NULL','NULL','rates','barely','budged','NULL','NULL','NULL','NNS','RB','VBN','interest6'
'exist','X','different','X','express','X','VBP','X','JJ','X','VB','X','interest3'
'NULL','people','heard','taken','seriously','X','NULL','NNS','VBN','VBN','RB','X','interest4'
'group','X','widespread','manufacturing','X','property','NP','X','JJ','NN','X','NN','interest5'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'managers','X','stir','stock','X','NULL','NNS','X','VB','NN','X','NULL','interest1'
'sale','offset','lower','income','X','poorer','NN','VBN','JJR','NN','X','JJR','interest6'
'share','X','primarily','expense','X','70X1','NN','X','RB','NN','X','AB','interest6'
'NULL','NULL','NULL','expense','1988','third','NULL','NULL','NULL','NN','AB','JJ','interest6'
'agreement','offers','significant','rate','savings','X','NN','VBZ','JJ','NN','NNS','X','interest6'
'back','50','%','working','woman','working','RP','AB','NN','NP','NP','NP','interest5'
'Xs','50','%','working','woman','working','POS','AB','NN','NP','NP','NP','interest5'
'profit','taxes','minority','increased','16','%','NN','NNS','NN','VBD','AB','NN','interest5'
'profit','taxes','minority','extraordinary','items','increased','NN','NNS','NN','JJ','NNS','VBD','interest5'
'X','sotheby','Xs','property','catalog','X','X','NP','POS','NN','NN','X','interest5'
'NULL','level','financial','X','collection','X','NULL','NN','JJ','X','NN','X','interest5'
'sell','works','financial','X','X','ought','VBP','NNS','JJ','X','X','MD','interest5'
'light','recent','moves','rates','around','world','NN','JJ','NNS','NNS','IN','NN','interest6'
'replace','bonds','average','rate','13X1','%','VB','NNS','JJ','NN','AB','NN','interest6'
'75','million','year','payments','X','NULL','AB','AB','NN','NNS','X','NULL','interest6'
'X','good','investment','rates','going','X','X','JJ','NN','NNS','VBG','X','interest6'
'would','acting','public','let','washington','elites','MD','VBG','JJ','VBD','NP','NNS','interest4'
'also','weigh','heavily','rateXsensitive','stocks','banking','RB','VBP','RB','JJ','NNS','NN','interest6'
'sectors','found','buying','actively','sold','recent','NNS','VBD','NN','RB','VBN','JJ','interest1'
'three','posts','pursue','X','NULL','NULL','AB','NNS','VB','X','NULL','NULL','interest3'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'company','Xs','chemicals','include','X','among','NN','POS','NNS','VBP','X','IN','interest5'
'fair','generous','best','mesa','shareholders','X','JJ','JJ','JJS','NP','NNS','X','interest4'
'thrift','report','fees','current','income','X','NN','VB','NNS','JJ','NN','X','interest6'
'NULL','NULL','X','words','goes','beyond','NULL','NULL','X','NNS','VBZ','IN','interest1'
'pact','kindled','export','among','many','small','NN','VBN','NN','IN','JJ','JJ','interest1'
'NULL','balcor','X','real','estate','X','NULL','NP','X','JJ','NN','X','interest5'
'X','resigned','pursue','X','positions','X','X','VBD','VB','X','NNS','X','interest3'
'company','X','primarily','radio','television','stations','NN','X','RB','NN','NN','NNS','interest5'
'deemed','important','uXsX','X','NULL','NULL','VBN','JJ','NP','X','NULL','NULL','interest4'
'NULL','NULL','satisfying','priority','panamanian','leader','NULL','NULL','VBG','NN','JJ','NN','interest4'
'grip','credit','lower','rates','X','NULL','NN','NN','VB','NNS','X','NULL','interest6'
'represent','pXg','Xs','federal','level','X','VB','NP','POS','JJ','NN','X','interest4'
'acquired','80','%','firm','may','1986','VBD','AB','NN','NN','NP','AB','interest5'
'miss','projections','earnings','X','tax','depreciation','VB','NNS','NNS','X','NN','NN','interest6'
'NULL','NULL','NULL','imposed','unpaid','taxes','NULL','NULL','NULL','VBN','JJ','NNS','interest6'
'keep','lid','shortXterm','rates','X','fed','VB','NN','JJ','NNS','X','NP','interest6'
'allowed','key','shortXterm','rate','decline','oneXquarter','VBN','JJ','JJ','NN','VB','NN','interest6'
'X','bank','said','payments','argentina','nine','X','NN','VBD','NNS','NP','AB','interest6'
'minimizing','drop','net','margin','13','%','VBG','NN','JJ','NN','AB','NN','interest6'
'fargo','Xs','net','income','rose','X','NP','POS','JJ','NN','VBD','X','interest6'
'million','gain','sale','foreign','leasing','company','AB','NN','NN','JJ','NN','NN','interest5'
'NULL','NULL','net','marginXthe','difference','bank','NULL','NULL','JJ','NN','NN','NN','interest6'
'NULL','expenses','unrelated','rose','5X4','%','NULL','NNS','JJ','VBD','AB','NN','interest6'
'income','sources','unrelated','said','continues','cut','NN','NNS','JJ','VBD','VBZ','VB','interest6'
'NULL','NULL','net','income','third','quarter','NULL','NULL','JJ','NN','JJ','NN','interest6'
'said','think','best','caci','stockholders','company','VBD','VBP','JJS','NP','NNS','NN','interest4'
'meant','keep','lid','rates','boost','investor','VBN','VB','NN','NNS','VB','NN','interest6'
'legitimate','ranchers','X','preserving','herds','X','JJ','NNS','X','VBG','NNS','X','interest4'
'underscores','growing','uXsX','nation','Xs','market','VBZ','VBG','NP','NN','POS','NN','interest1'
'operating','profit','taxes','costs','X','63X1','VBG','NN','NNS','NNS','X','AB','interest6'
'declare','conduct','public','hence','criminal','X','VB','NN','JJ','RB','JJ','X','interest4'
'X','despite','falling','rates','X','NULL','X','IN','VBG','NNS','X','NULL','interest6'
'reports','branches','greater','last','day','X','NNS','NNS','JJR','JJ','NN','X','interest1'
'tend','closely','follow','rate','trends','X','VBP','RB','VB','NN','NNS','X','interest6'
'late','april','X','rates','recent','highs','JJ','NP','X','NNS','JJ','NNS','interest6'
'make','unlikely','shortXterm','rates','rise','X','VBP','JJ','JJ','NNS','VB','X','interest6'
'also','discussed','sale','showtime','cable','operators','RB','VBN','NN','NP','NN','NNS','interest5'
'key','federal','funds','rate','dip','8','JJ','JJ','NNS','NN','VB','AB','interest6'
'also','selling','equity','japanese','joint','venture','RB','VBG','NN','JJ','NN','NN','interest5'
'NULL','NULL','average','rate','fell','8X292','NULL','NULL','JJ','NN','VBD','AB','interest6'
'ford','nXt','lost','X','NULL','NULL','NP','RB','VBN','X','NULL','NULL','interest1'
'X','failed','make','payments','nearly','X','X','VBD','VB','NNS','RB','X','interest6'
'new','notes','bear','5X5','%','july','JJ','NNS','VB','AB','NN','NP','interest6'
