% interestacl94.arff

@relation interest

@attribute prevword_3 String
@attribute prevword_2 String
@attribute prevword_1 String
@attribute nextword_1 String
@attribute nextword_2 String
@attribute nextword_3 String
@attribute prevtag_3 String
@attribute prevtag_2 String
@attribute prevtag_1 String
@attribute nexttag_1 String
@attribute nexttag_2 String
@attribute nexttag_3 String
@attribute 'Class' {'interest1', 'interest2', 'interest3', 'interest4', 'interest5', 'interest6'}

@data
'NULL','NULL','NULL','may','remain','limited','NULL','NULL','NULL','MD','VB','JJ','interest1'
'Xs','high','shortXterm','rates','X','NULL','POS','JJ','JJ','NNS','X','NULL','interest6'
'curbs','on','bank','rates','to','allow','NNS','IN','NN','NNS','TO','VB','interest6'
'might','use','its','as','a','platform','MD','VB','PPX','IN','DT','NN','interest5'
'a','36','%','in','the','country','DT','AB','NN','IN','DT','NN','interest5'
'also','receive','minority','in','the','new','RB','VB','NN','IN','DT','JJ','interest5'
'a','controlling','ownership','X','NULL','NULL','DT','JJ','NN','X','NULL','NULL','interest5'
'pursue','other','business','X','the','company','VB','JJ','NN','X','DT','NN','interest3'
'a','54','%','in','manhattan','national','DT','AB','NN','IN','NP','NP','interest5'
'as','well','as','from','X','third','RB','RB','IN','IN','X','JJ','interest1'
'has','abandoned','their','X','NULL','NULL','VBZ','VBN','PPX','X','NULL','NULL','interest4'
'introduced','in','the','of','protecting','the','VBN','IN','DT','IN','VBG','DT','interest4'
'lack','of','investor','X','were','responsible','NN','IN','NN','X','VBD','JJ','interest1'
'drew','solid','investor','X','NULL','NULL','VBD','JJ','NN','X','NULL','NULL','interest1'
'there','was','little','in','treasury','bonds','EX','VBD','JJ','IN','NP','NNS','interest1'
'means','greater','buying','for','the','metal','VBZ','JJR','NN','IN','DT','NN','interest1'
'also','sparked','buying','in','other','realXestate','RB','VBD','NN','IN','JJ','NN','interest1'
'kluge','X','has','in','telecommunications','X','NP','X','VBZ','IN','NN','X','interest5'
'longer','representing','their','X','NULL','NULL','RBR','VBG','PPX','X','NULL','NULL','interest4'
'of','significant','buying','X','NULL','NULL','IN','JJ','NN','X','NULL','NULL','interest1'
'said','fresh','buying','was','sidelined','ahead','VBD','JJ','NN','VBD','VBN','RB','interest1'
'generated','strong','buying','X','helped','to','VBD','JJ','NN','X','VBD','TO','interest1'
'X','parties','in','X','X','which','X','NNS','IN','X','X','WDT','interest5'
'diminished','in','national','because','both','teams','VBN','IN','JJ','IN','DT','NNS','interest2'
'group','X','whose','are','represented','by','NN','X','WPX','VBP','VBN','IN','interest5'
'had','X','considerable','X','from','prospective','VBN','X','JJ','X','IN','JJ','interest1'
'X','the','uXsX','at','stake','were','X','DT','NP','IN','NN','VBD','interest4'
'notes','that','accumulate','in','more','notes','NNS','WDT','VBP','IN','JJR','NNS','interest6'
'nXt','mention','his','in','horse','racing','RB','VB','PPX','IN','NN','NN','interest1'
'of','japanese','investor','in','uXsX','securities','IN','JJ','NN','IN','NP','NNS','interest1'
'NULL','NULL','buying','in','du','pont','NULL','NULL','NN','IN','NP','NP','interest1'
'cash','coverage','of','X','will','meaningfully','NN','NN','IN','X','MD','RB','interest6'
'but','the','general','magazine','is','something','CC','DT','JJ','NN','VBZ','NN','interest3'
'to','X','black','X','could','win','TO','X','JJ','X','MD','VB','interest4'
'many','different','economic','X','NULL','NULL','JJ','JJ','JJ','X','NULL','NULL','interest3'
'addition','to','his','in','ozone','depletion','NN','TO','PPX','IN','NN','NN','interest1'
'but','overall','buying','remained','strong','through','CC','JJ','NN','VBD','JJ','IN','interest1'
'taxes','and','minority','but','before','extraordinary','NNS','CC','NN','CC','IN','JJ','interest5'
'but','while','uXsX','may','be','big','CC','IN','NP','MD','VB','JJ','interest1'
'the','uXsX','Xs','in','somalia','consists','DT','NP','POS','IN','NP','VBZ','interest4'
'than','usual','financial','in','the','property','IN','JJ','JJ','IN','DT','NN','interest5'
'any','conflicts','of','X','NULL','NULL','DT','NNS','IN','X','NULL','NULL','interest4'
'definite','conflict','of','for','an','auction','JJ','NN','IN','IN','DT','NN','interest4'
'a','conflict','of','X','X','says','DT','NN','IN','X','X','VBZ','interest4'
'alleged','conflict','of','X','set','up','JJ','NN','IN','X','VBN','RP','interest4'
'no','conflicts','of','X','to','stabilize','DT','NNS','IN','X','TO','VB','interest4'
'any','conflicts','of','X','NULL','NULL','DT','NNS','IN','X','NULL','NULL','interest4'
'or','conflict','of','or','risk','of','CC','NN','IN','CC','NN','IN','interest4'
'prevent','conflicts','of','X','already','have','VB','NNS','IN','X','RB','VBP','interest4'
'builtXin','conflicts','of','X','NULL','NULL','JJ','NNS','IN','X','NULL','NULL','interest4'
'a','conflict','of','standard','for','a','DT','NN','IN','NN','IN','DT','interest4'
'no','conflict','of','X','X','he','DT','NN','IN','X','X','PP','interest4'
'%','boost','in','expense','X','reflecting','NN','NN','IN','NN','X','VBG','interest6'
'fall','in','scientific','in','cold','fusion','NN','IN','JJ','IN','JJ','NN','interest1'
'X','which','has','in','television','X','X','WDT','VBZ','IN','NN','X','interest5'
'because','of','high','rates','and','a','IN','IN','JJ','NNS','CC','DT','interest6'
'bonds','X','fixedXdollar','payments','X','NULL','NNS','POS','JJ','NNS','X','NULL','interest6'
'he','had','an','X','NULL','NULL','PP','VBD','DT','X','NULL','NULL','interest5'
'pay','all','their','at','maturity','X','VBP','DT','PPX','IN','NN','X','interest6'
'when','inflation','and','rates','kick','up','WRB','NN','CC','NNS','VBP','RP','interest6'
'refunds','without','much','if','the','children','NNS','IN','JJ','IN','DT','NNS','interest6'
'back','taxes','X','and','civil','fraud','JJ','NNS','X','CC','JJ','NN','interest6'
'NULL','or','an','in','a','retirement','NULL','CC','DT','IN','DT','NN','interest5'
'flaX','X','sold','in','oil','wells','NP','X','VBN','IN','NN','NNS','interest5'
'is','based','on','rates','that','the','VBZ','VBN','IN','NNS','IN','DT','interest6'
'can','any','high','rate','prevail','for','MD','DT','JJ','NN','VB','IN','interest6'
'usually','only','if','rates','stay','high','RB','RB','IN','NNS','VBP','JJ','interest6'
'NULL','NULL','if','rates','plunge','X','NULL','NULL','IN','NNS','VBP','X','interest6'
'a','marginally','higher','yield','X','if','DT','RB','JJR','NN','X','IN','interest6'
'a','fractionally','higher','rate','X','NULL','DT','RB','JJR','NN','X','NULL','interest6'
'NULL','NULL','buying','also','resurfaced','in','NULL','NULL','NN','RB','VBD','IN','interest1'
'X','using','high','rates','as','X','X','VBG','JJ','NNS','IN','X','interest6'
'of','using','high','rates','to','fight','IN','VBG','JJ','NNS','TO','VB','interest6'
'a','doubling','of','rates','over','the','DT','NN','IN','NNS','IN','DT','interest6'
'X','now','the','is','in','what','X','RB','DT','VBZ','IN','WP','interest1'
'a','lot','of','in','those','kind','DT','NN','IN','IN','DT','NN','interest1'
'NULL','NULL','short','on','the','new','NULL','NULL','JJ','IN','DT','NP','interest5'
'month','of','short','X','NULL','NULL','NN','IN','JJ','X','NULL','NULL','interest5'
'reported','that','short','dropped','to','523X920X214','VBD','DT','JJ','VBD','TO','AB','interest5'
'NULL','amex','short','climbed','3','%','NULL','NP','JJ','VBD','AB','NN','interest5'
'NULL','amex','short','has','been','heading','NULL','NP','JJ','VBZ','VBN','VBG','interest5'
'NULL','NULL','short','is','the','number','NULL','NULL','JJ','VBZ','DT','NN','interest5'
'increase','in','short','bullish','because','the','NN','IN','JJ','JJ','IN','DT','interest5'
'fluctuation','in','short','of','certain','stocks','NN','IN','JJ','IN','JJ','NNS','interest5'
'big','board','short','ratio','slipped','to','NP','NP','JJ','NN','VBD','TO','interest5'
'NULL','NULL','short','in','international','business','NULL','NULL','JJ','IN','NP','NP','interest5'
'X','where','short','slid','to','4X469X167','X','WRB','JJ','VBD','TO','AB','interest5'
'the','amex','short','volume','leader','again','DT','NP','JJ','NN','NN','RB','interest5'
'which','a','short','position','of','at','WDT','DT','JJ','NN','IN','IN','interest5'
'but','do','include','costs','of','X','CC','VBP','VB','NNS','IN','X','interest6'
'relatively','more','attractive','rates','pushed','moneyXmarket','RB','RBR','JJ','NNS','VBD','JJ','interest6'
'in','provisions','for','payments','from','loans','IN','NNS','IN','NNS','IN','NNS','interest6'
'made','for','foregone','on','a','mX','VBN','IN','JJ','IN','DT','X','interest6'
'a','sign','that','rates','may','fall','DT','NN','IN','NNS','MD','VB','interest6'
'pessimism','about','lower','rates','and','contributed','NN','IN','JJR','NNS','CC','VBD','interest6'
'allowed','a','key','rate','to','fall','VBN','DT','JJ','NN','TO','VB','interest6'
'NULL','after','watching','in','the','sport','NULL','RB','VBG','IN','DT','NN','interest1'
'seek','a','controlling','in','harleyXdavidson','X','VB','DT','NN','IN','NP','X','interest5'
'says','X','X','rates','almost','always','VBZ','X','X','NNS','RB','RB','interest6'
'tilts','X','falling','rates','force','up','VBZ','X','VBG','NNS','VBP','RB','interest6'
'they','pay','higher','than','newly','issued','PP','VBP','JJR','IN','RB','VBN','interest6'
'NULL','NULL','when','rates','have','dropped','NULL','NULL','WRB','NNS','VBP','VBN','interest6'
'then','save','on','costs','X','NULL','RB','VBP','IN','NNS','X','NULL','interest6'
'he','doubts','that','rates','will','fall','PP','VBZ','IN','NNS','MD','VB','interest6'
'with','a','resettable','rate','and','a','IN','DT','JJ','NN','CC','DT','interest6'
'raised','hopes','that','rates','will','continue','VBD','NNS','IN','NNS','MD','VB','interest6'
'overhead','and','debt','X','NULL','NULL','NN','CC','NN','X','NULL','NULL','interest6'
'to','sell','its','in','its','lower','TO','VB','PPX','IN','PPX','JJR','interest5'
'to','sell','its','X','along','with','TO','VB','PPX','X','IN','IN','interest5'
'atlas','estate','Xs','X','shortly','after','NP','NN','POS','X','RB','IN','interest5'
'to','enforce','their','X','have','been','TO','VB','PPX','X','VBP','VBN','interest4'
'credits','and','financial','in','the','films','NNS','CC','JJ','IN','DT','NNS','interest5'
'in','warner','Xs','to','accommodate','mgmua','IN','NP','POS','TO','VB','NP','interest4'
'in','its','own','to','let','mrX','IN','PPX','JJ','TO','VB','NP','interest4'
'and','columbia','Xs','in','the','studio','CC','NP','POS','IN','DT','NN','interest5'
'moreover','X','the','on','assetXbacked','securities','RB','X','DT','IN','JJ','NNS','interest6'
'certificates','represent','an','only','in','the','NNS','VBP','DT','RB','IN','DT','interest5'
'do','not','represent','in','or','obligations','VBP','RB','VB','IN','CC','NNS','interest5'
'property','holds','an','in','139','facilities','NP','VBZ','DT','IN','AB','NNS','interest5'
'one','of','the','hit','hardest','in','AB','IN','DT','VBD','RBS','IN','interest5'
'tokyoXbased','company','with','that','include','financial','JJ','NN','IN','WDT','VBP','JJ','interest5'
'quarter','X','excluding','X','increased','6X1','NN','X','VBG','X','VBD','AB','interest6'
'such','clear','strategic','X','waiting','for','JJ','JJ','JJ','X','VBG','IN','interest4'
'refinery','and','an','in','a','second','NN','CC','DT','IN','DT','JJ','interest5'
'costXreduction','moves','and','income','X','NULL','JJ','NNS','CC','NN','X','NULL','interest6'
'NULL','NULL','NULL','will','be','paid','NULL','NULL','NULL','MD','VB','VBN','interest6'
'that','is','of','to','the','user','DT','VBZ','IN','TO','DT','NN','interest2'
'the','subscriber','Xs','area','X','NULL','DT','NN','POS','NN','X','NULL','interest3'
'hot','topic','X','in','the','abortion','JJ','NN','X','IN','DT','NN','interest1'
'rumors','of','soviet','also','pushed','up','NP','IN','JJ','RB','VBD','RB','interest1'
'and','a','oneXthird','in','the','international','CC','DT','JJ','IN','DT','NP','interest5'
'leeway','to','reduce','rates','X','NULL','NN','TO','VB','NNS','X','NULL','interest6'
'pursuit','of','private','X','NULL','NULL','NN','IN','JJ','X','NULL','NULL','interest4'
'that','also','has','in','book','publishing','WDT','RB','VBZ','IN','NN','NN','interest5'
'pursue','other','business','and','do','some','VB','JJ','NN','CC','VB','DT','interest3'
'X','a','controlling','in','the','company','X','DT','VBG','IN','DT','NN','interest5'
'a','decline','in','income','X','NULL','DT','NN','IN','NN','X','NULL','interest6'
'NULL','the','lower','income','occurred','because','NULL','DT','JJR','NN','VBD','IN','interest6'
'payments','to','minority','rose','to','252','NNS','TO','NN','VBD','TO','AB','interest5'
'payment','to','minority','X','NULL','NULL','NN','TO','NN','X','NULL','NULL','interest5'
'will','revive','consumer','in','a','littleXpublicized','MD','VB','NN','IN','DT','JJ','interest1'
'of','a','oneXsixth','in','grace','energy','IN','DT','JJ','IN','NP','NP','interest5'
'X','and','higher','expenses','X','NULL','X','CC','JJR','NNS','X','NULL','interest6'
'a','22','%','in','the','company','DT','AB','NN','IN','DT','NN','interest5'
'raising','doman','Xs','in','western','forest','VBG','NP','POS','IN','NP','NP','interest5'
'remaining','44','%','in','western','forest','VBG','AB','NN','IN','NP','NP','interest5'
'direction','of','uXsX','rates','remains','unclear','NN','IN','NP','NNS','VBZ','JJ','interest6'
'NULL','X','investor','switches','back','and','NULL','X','NN','VBZ','RB','CC','interest1'
'companies','also','attracted','for','their','strong','NNS','RB','VBD','IN','PPX','JJ','interest1'
'the','flurry','of','in','those','shares','DT','NN','IN','IN','DT','NNS','interest1'
'and','high','uXkX','rates','X','NULL','CC','JJ','NP','NNS','X','NULL','interest6'
'face','of','high','rates','X','gained','NN','IN','JJ','NNS','X','VBD','interest6'
'in','the','best','of','stockholders','X','IN','DT','JJS','IN','NNS','X','interest4'
'speculation','of','lower','rates','X','NULL','NN','IN','JJR','NNS','X','NULL','interest6'
'loans','X','higher','margins','and','only','NNS','X','JJR','NNS','CC','JJ','interest6'
'big','board','short','fell','4X2','%','NP','NP','JJ','VBD','AB','NN','interest5'
'some','fresh','buying','later','in','the','DT','JJ','NN','RB','IN','DT','interest1'
'for','now','X','rates','will','stay','IN','RB','X','NNS','MD','VB','interest6'
'hotels','and','management','will','be','sold','NNS','CC','NN','MD','VB','VBN','interest5'
'properties','and','management','was','nXt','disclosed','NNS','CC','NN','VBD','RB','VBN','interest5'
'to','sell','its','in','36','hotels','TO','VB','PPX','IN','AB','NNS','interest5'
'sale','are','the','of','the','trust','NN','VBP','DT','IN','DT','NN','interest5'
'X','expressions','of','X','from','two','X','NNS','IN','X','IN','AB','interest1'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','IN','VBP','interest6'
'volume','and','tighter','margins','X','NULL','NN','CC','JJR','NNS','X','NULL','interest6'
'loss','widened','X','expense','is','cited','NN','VBD','X','NN','VBZ','VBN','interest6'
'and','lower','net','expense','X','NULL','CC','JJR','JJ','NN','X','NULL','interest6'
'healthvest','missed','an','payment','to','bank','NP','VBD','DT','NN','TO','NP','interest6'
'in','principal','and','payments','owed','since','IN','NN','CC','NNS','VBD','IN','interest6'
'acquire','uXsX','cellular','in','markets','other','VB','NP','JJ','IN','NNS','JJ','interest5'
'mccaw','holds','an','X','or','which','NP','VBZ','DT','X','CC','WDT','interest5'
'lin','has','an','there','or','contiguous','NP','VBZ','DT','RB','CC','JJ','interest5'
'lin','Xs','best','X','NULL','NULL','NP','POS','JJS','X','NULL','NULL','interest4'
'the','company','Xs','X','NULL','NULL','DT','NN','POS','X','NULL','NULL','interest5'
'lose','far','less','by','proceeding','that','VBP','RB','JJR','IN','VBG','DT','interest6'
'loans','X','higher','margins','and','negligible','NNS','X','JJR','NNS','CC','JJ','interest6'
'decline','in','brazilian','paid','X','to','NN','IN','JJ','VBN','X','TO','interest6'
'4X52','%','net','margin','X','or','AB','NN','JJ','NN','X','CC','interest6'
'X','which','has','in','transportation','X','X','WDT','VBZ','IN','NN','X','interest5'
'pursue','other','business','X','capital','holding','VB','JJ','NN','X','NP','NP','interest3'
'degree','of','public','X','at','stake','NN','IN','JJ','X','IN','NN','interest4'
'direction','of','uXsX','rates','remained','unclear','NN','IN','NP','NNS','VBD','JJ','interest6'
'property','owners','with','in','the','san','NN','NNS','IN','IN','DT','NP','interest5'
'still','hanging','over','rates','and','the','RB','VBG','IN','NNS','CC','DT','interest6'
'NULL','NULL','NULL','rateXsensitive','shares','such','NULL','NULL','NULL','JJ','NNS','JJ','interest6'
'credit','X','allowing','rates','to','drop','NN','X','VBG','NNS','TO','VB','interest6'
'company','Xs','equity','in','south','africa','NN','POS','NN','IN','NP','NP','interest5'
'sold','a','majority','in','its','brazilian','VBD','DT','NN','IN','PPX','JJ','interest5'
'its','10','%','in','rocky','mountain','PPX','AB','NN','IN','NP','NP','interest5'
'X','like','high','rates','or','slow','X','IN','JJ','NNS','CC','JJ','interest6'
'to','the','public','X','NULL','NULL','TO','DT','JJ','X','NULL','NULL','interest4'
'of','the','public','X','NULL','NULL','IN','DT','JJ','X','NULL','NULL','interest4'
'longing','for','lower','rates','X','NULL','NN','IN','JJR','NNS','X','NULL','interest6'
'represents','X','low','rates','X','shortXrun','VBZ','X','JJ','NNS','X','JJ','interest6'
'are','nXt','accruing','X','the','bank','VBP','RB','VBG','X','DT','NN','interest6'
'of','its','softXdrink','X','did','nXt','IN','PPX','NN','X','VBD','RB','interest5'
'bolster','its','brewing','X','in','an','VB','PPX','NN','X','IN','DT','interest5'
'britain','X','those','include','the','beefeater','NP','X','DT','VBP','DT','NP','interest5'
'reserve','will','lower','rates','in','coming','NP','MD','VB','NNS','IN','VBG','interest6'
'to','the','best','of','amr','shareholders','TO','DT','JJS','IN','NP','NNS','interest4'
'louis','company','with','in','solid','waste','NP','NN','IN','IN','JJ','NN','interest5'
'value','X','with','accruing','instead','of','NN','X','IN','VBG','RB','IN','interest6'
'X','that','accrued','is','deductible','by','X','DT','VBN','VBZ','JJ','IN','interest6'
'million','from','buyXout','payments','X','the','AB','IN','NN','NNS','X','DT','interest6'
'rather','than','just','payments','X','NULL','RB','IN','RB','NNS','X','NULL','interest6'
'have','a','lower','rate','X','they','VBP','DT','JJR','NN','X','PP','interest6'
'does','nXt','pay','for','at','least','VBZ','RB','VB','IN','IN','JJS','interest6'
'the','deduction','until','is','actually','paid','DT','NN','IN','VBZ','RB','VBN','interest6'
'on','the','accrued','X','NULL','NULL','IN','DT','VBN','X','NULL','NULL','interest6'
'NULL','X','the','deduction','was','the','NULL','X','DT','NN','VBD','DT','interest6'
'NULL','northrop','Xs','expense','also','soared','NULL','NP','POS','NN','RB','VBD','interest6'
'NULL','NULL','its','expense','surged','to','NULL','NULL','PPX','NN','VBD','TO','interest6'
'up','against','entrenched','X','NULL','NULL','IN','IN','JJ','X','NULL','NULL','interest4'
'recent','declines','in','rates','X','money','JJ','NNS','IN','NNS','X','NN','interest6'
'billion','X','computing','on','the','government','AB','X','VBG','IN','DT','NN','interest6'
'to','purchase','an','in','a','startXup','TO','VB','DT','IN','DT','JJ','interest5'
'acquire','a','majority','later','X','NULL','VB','DT','NN','RB','X','NULL','interest5'
'250','million','in','costs','X','NULL','AB','AB','IN','NNS','X','NULL','interest6'
'the','best','longXterm','of','the','shareholders','DT','JJS','JJ','IN','DT','NNS','interest4'
'NULL','NULL','initial','rate','set','at','NULL','NULL','JJ','NN','VBN','IN','interest6'
'NULL','NULL','NULL','payments','on','the','NULL','NULL','NULL','NNS','IN','DT','interest6'
'to','principal','and','X','NULL','NULL','TO','NN','CC','X','NULL','NULL','interest6'
'determine','X','where','rates','are','heading','VB','X','WRB','NNS','VBP','VBG','interest6'
'NULL','NULL','NULL','rates','barely','budged','NULL','NULL','NULL','NNS','RB','VBN','interest6'
'in','which','different','X','can','express','IN','WDT','JJ','X','MD','VB','interest3'
'but','that','their','are','being','taken','CC','IN','PPX','VBP','VBG','VBN','interest4'
'which','has','widespread','in','manufacturing','X','WDT','VBZ','JJ','IN','NN','X','interest5'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'and','to','stir','in','the','stock','CC','TO','VB','IN','DT','NN','interest1'
'offset','by','lower','income','X','poorer','VBN','IN','JJR','NN','X','JJR','interest6'
'primarily','because','of','expense','of','X','RB','IN','IN','NN','IN','X','interest6'
'NULL','NULL','NULL','expense','in','the','NULL','NULL','NULL','NN','IN','DT','interest6'
'that','offers','significant','rate','savings','X','WDT','VBZ','JJ','NN','NNS','X','interest6'
'its','50','%','in','working','woman','PPX','AB','NN','IN','NP','NP','interest5'
'Xs','50','%','in','working','woman','POS','AB','NN','IN','NP','NP','interest5'
'taxes','and','minority','increased','16','%','NNS','CC','NN','VBD','AB','NN','interest5'
'taxes','and','minority','but','before','extraordinary','NNS','CC','NN','CC','IN','JJ','interest5'
'Xs','has','an','in','the','property','POS','VBZ','DT','IN','DT','NN','interest5'
'level','of','financial','X','in','the','NN','IN','JJ','X','IN','DT','interest5'
'have','a','financial','X','X','it','VBP','DT','JJ','X','X','PP','interest5'
'recent','moves','in','rates','around','the','JJ','NNS','IN','NNS','IN','DT','interest6'
'with','an','average','rate','of','13X1','IN','DT','JJ','NN','IN','AB','interest6'
'a','year','in','payments','X','NULL','DT','NN','IN','NNS','X','NULL','interest6'
'good','investment','because','rates','are','going','JJ','NN','IN','NNS','VBP','VBG','interest6'
'in','the','public','if','he','let','IN','DT','JJ','IN','PP','VBD','interest4'
'weigh','heavily','on','rateXsensitive','stocks','such','VBP','RB','IN','JJ','NNS','JJ','interest6'
'sectors','found','buying','after','being','actively','NNS','VBD','NN','IN','VBG','RB','interest1'
'to','pursue','other','X','NULL','NULL','TO','VB','JJ','X','NULL','NULL','interest3'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'company','Xs','chemicals','include','X','among','NN','POS','NNS','VBP','X','IN','interest5'
'in','the','best','of','mesa','shareholders','IN','DT','JJS','IN','NP','NNS','interest4'
'report','fees','and','as','current','income','VB','NNS','CC','IN','JJ','NN','interest6'
'NULL','X','this','in','words','goes','NULL','X','DT','IN','NNS','VBZ','interest1'
'kindled','an','export','among','many','small','VBN','DT','NN','IN','JJ','JJ','interest1'
'X','which','has','in','real','estate','X','WDT','VBZ','IN','JJ','NN','interest5'
'to','pursue','other','X','in','both','TO','VB','JJ','X','IN','DT','interest3'
'which','primarily','has','in','radio','and','WDT','RB','VBZ','IN','NN','CC','interest5'
'important','to','uXsX','X','NULL','NULL','JJ','TO','NP','X','NULL','NULL','interest4'
'NULL','satisfying','its','was','a','priority','NULL','VBG','PPX','VBD','DT','NN','interest4'
'credit','and','lower','rates','X','NULL','NN','CC','VB','NNS','X','NULL','interest6'
'represent','pXg','Xs','at','the','federal','VB','NP','POS','IN','DT','JJ','interest4'
'its','80','%','in','the','firm','PPX','AB','NN','IN','DT','NN','interest5'
'of','earnings','before','X','tax','and','IN','NNS','IN','X','NN','CC','interest6'
'NULL','NULL','NULL','will','be','imposed','NULL','NULL','NULL','MD','VB','VBN','interest6'
'lid','on','shortXterm','rates','X','the','NN','IN','JJ','NNS','X','DT','interest6'
'a','key','shortXterm','rate','to','decline','DT','JJ','JJ','NN','TO','VB','interest6'
'bank','said','no','payments','from','argentina','NN','VBD','DT','NNS','IN','NP','interest6'
'drop','in','net','margin','with','13','NN','IN','JJ','NN','IN','AB','interest6'
'fargo','Xs','net','income','rose','X','NP','POS','JJ','NN','VBD','X','interest6'
'sale','of','an','in','a','foreign','NN','IN','DT','IN','DT','JJ','interest5'
'NULL','the','net','marginXthe','difference','between','NULL','DT','JJ','NN','NN','IN','interest6'
'expenses','unrelated','to','rose','5X4','%','NNS','JJ','TO','VBD','AB','NN','interest6'
'sources','unrelated','to','and','said','it','NNS','JJ','TO','CC','VBD','PP','interest6'
'NULL','NULL','net','income','in','the','NULL','NULL','JJ','NN','IN','DT','interest6'
'in','the','best','of','caci','stockholders','IN','DT','JJS','IN','NP','NNS','interest4'
'a','lid','on','rates','and','to','DT','NN','IN','NNS','CC','TO','interest6'
'who','have','an','in','preserving','the','WP','VBP','DT','IN','VBG','DT','interest4'
'the','growing','uXsX','in','that','nation','DT','VBG','NP','IN','DT','NN','interest1'
'before','taxes','and','costs','of','X','IN','NNS','CC','NNS','IN','X','interest6'
'against','the','public','and','hence','criminal','IN','DT','JJ','CC','RB','JJ','interest4'
'X','despite','falling','rates','X','NULL','X','IN','VBG','NNS','X','NULL','interest6'
'has','been','greater','in','the','last','VBZ','VBN','JJR','IN','DT','JJ','interest1'
'to','closely','follow','rate','trends','X','TO','RB','VB','NN','NNS','X','interest6'
'april','X','when','rates','were','at','NP','X','WRB','NNS','VBD','IN','interest6'
'unlikely','that','shortXterm','rates','will','rise','JJ','IN','JJ','NNS','MD','VB','interest6'
'sale','of','an','in','showtime','with','NN','IN','DT','IN','NP','IN','interest5'
'key','federal','funds','rate','to','dip','JJ','JJ','NNS','NN','TO','VB','interest6'
'selling','its','equity','in','a','japanese','VBG','PPX','NN','IN','DT','JJ','interest5'
'NULL','the','average','rate','fell','to','NULL','DT','JJ','NN','VBD','TO','interest6'
'has','nXt','lost','X','NULL','NULL','VBZ','RB','VBN','X','NULL','NULL','interest1'
'failed','to','make','payments','on','nearly','VBD','TO','VB','NNS','IN','RB','interest6'
'notes','will','bear','at','5X5','%','NNS','MD','VB','IN','AB','NN','interest6'
'X','expressions','of','of','a','transaction','X','NNS','IN','IN','DT','NN','interest1'
'corpX','X','of','expressed','by','buyXout','NP','X','IN','VBN','IN','NN','interest1'
'NULL','despite','renewed','by','the','public','NULL','IN','VBN','IN','DT','NN','interest1'
'did','some','advertiser','X','NULL','NULL','VBD','DT','NN','X','NULL','NULL','interest1'
'to','have','lost','in','the','whole','TO','VB','VBN','IN','DT','JJ','interest1'
'to','stir','up','in','old','masters','TO','VB','RP','IN','JJ','NNS','interest1'
'X','clients','express','in','paintings','but','X','NNS','VBP','IN','NNS','CC','interest1'
'were','protecting','his','X','NULL','NULL','VBD','VBG','PPX','X','NULL','NULL','interest4'
'a','15','%','in','datatimes','corpX','DT','AB','NN','IN','NP','NP','interest5'
'with','6X25','%','rates','X','or','IN','AB','NN','NNS','X','CC','interest6'
'corpX','have','equity','in','kia','X','NP','VBP','NN','IN','NP','X','interest5'
'that','should','bring','rates','down','X','DT','MD','VB','NNS','RB','X','interest6'
'he','says','X','rates','are','far','PP','VBZ','X','NNS','VBP','RB','interest6'
'NULL','NULL','annualized','rates','on','certain','NULL','NULL','VBN','NNS','IN','JJ','interest6'
'Xs','industrial','gas','and','expand','the','POS','JJ','NN','CC','VB','DT','interest5'
'a','51','%','in','makro','inc','DT','AB','NN','IN','NP','NP','interest5'
'revival','of','institutional','in','smaller','growth','NN','IN','JJ','IN','JJR','JJ','interest1'
'real','turnaround','in','in','small','growth','JJ','NN','IN','IN','JJ','NN','interest1'
'and','income','from','and','dividends','X','CC','NN','IN','CC','NNS','SYM','interest6'
'at','the','low','rate','and','banking','IN','DT','JJ','NN','CC','NN','interest6'
'bank','fees','and','X','but','is','NN','NNS','CC','X','CC','VBZ','interest6'
'NULL','NULL','X','rates','X','lower','NULL','NULL','X','NNS','X','JJR','interest6'
'would','nXt','lower','rates','to','weaken','MD','RB','VB','NNS','TO','VB','interest6'
'which','pay','lower','rates','X','NULL','WDT','VBP','JJR','NNS','X','NULL','interest6'
'166','billion','including','over','10','years','AB','AB','VBG','IN','AB','NNS','interest6'
'NULL','NULL','net','income','sank','27','NULL','NULL','JJ','NN','VBD','AB','interest6'
'NULL','NULL','the','rate','on','shortXterm','NULL','NULL','DT','NN','IN','JJ','interest6'
'2','million','of','payments','on','its','AB','AB','IN','NNS','IN','PPX','interest6'
'Xinterest','X','net','income','would','have','NN','X','JJ','NN','MD','VB','interest6'
'they','been','accruing','X','net','Xinterest','PP','VBN','VBG','X','JJ','NN','interest6'
'10','million','of','income','in','the','AB','AB','IN','NN','IN','DT','interest6'
'sources','other','than','climbed','12','%','NNS','JJ','IN','VBD','AB','NN','interest6'
'ncnb','Xs','net','margin','in','the','NP','POS','JJ','NN','IN','DT','interest6'
'increase','in','net','income','X','reflecting','NN','IN','JJ','NN','X','VBG','interest6'
'pacific','Xs','net','margin','fell','only','NP','POS','JJ','NN','VBD','RB','interest6'
